title,rating,votes,year,genres,imdbLink
101 Estonian Films: Animation,0,0,0,,
25 Years of Innocence. The Case of Tomek Komenda,0,0,0,,
50 or Two Whales Meet on the Beach,7.9,9,2020,Drama,"<a href=""http://www.imdb.com/title/tt12211524/"">Link</a>"
A Distant Place,5.7,37,2010,Drama;Romance,"<a href=""http://www.imdb.com/title/tt1267494/"">Link</a>"
A Man Who Never Was,7.4,4440,1956,War;Drama,"<a href=""http://www.imdb.com/title/tt0049471/"">Link</a>"
A Yellow Animal,6.1,106,2020,Drama,"<a href=""http://www.imdb.com/title/tt7811018/"">Link</a>"
Abulele,5.9,251,2015,Animation;Adventure;Family,"<a href=""http://www.imdb.com/title/tt4937208/"">Link</a>"
Ammonite,6.6,631,2020,Biography;Drama;Romance,"<a href=""http://www.imdb.com/title/tt7983894/"">Link</a>"
An Ordinary Woman 2,7.3,306,2018,Comedy;Drama,"<a href=""http://www.imdb.com/title/tt8561620/"">Link</a>"
And Tomorrow the Entire World,6.0,243,2020,Crime;Drama;Romance,"<a href=""http://www.imdb.com/title/tt7716120/"">Link</a>"
Angel,7.9,63637,1999,Action;Drama;Fantasy;Thriller,"<a href=""http://www.imdb.com/title/tt0162065/"">Link</a>"
Animated Journeys,,,2016,Comedy,"<a href=""http://www.imdb.com/title/tt6462770/"">Link</a>"
Animated Realities,,,2016,Documentary;Short,"<a href=""http://www.imdb.com/title/tt4010186/"">Link</a>"
Anton,8.4,29,2019,Drama,"<a href=""http://www.imdb.com/title/tt6872792/"">Link</a>"
Armugan,,,2020,,"<a href=""http://www.imdb.com/title/tt11123316/"">Link</a>"
Art Paul of Playboy: The Man Behind The Bunny,6.1,21,2018,Documentary,"<a href=""http://www.imdb.com/title/tt8413006/"">Link</a>"
As Far as I Know,,,2020,Drama,"<a href=""http://www.imdb.com/title/tt10073452/"">Link</a>"
Ascent of a Woman - Live Action Documentaries 2,0,0,0,,
Baby,6.8,7744,2018,Drama,"<a href=""http://www.imdb.com/title/tt7645192/"">Link</a>"
Bad Tales,6.6,3821,2020,Drama,"<a href=""http://www.imdb.com/title/tt8526370/"">Link</a>"
Barefoot: The Mark Baumer Story,8.0,6,2019,Documentary,"<a href=""http://www.imdb.com/title/tt11025386/"">Link</a>"
Basic Care Unit,0,0,0,,
Beasts,7.3,184,1976,Horror;Mystery,"<a href=""http://www.imdb.com/title/tt0169416/"">Link</a>"
Because of My Body,6.1,8,1960,,"<a href=""http://www.imdb.com/title/tt0359694/"">Link</a>"
Bedridden,,,2020,Drama,"<a href=""http://www.imdb.com/title/tt10410782/"">Link</a>"
Beginning,6.6,223,2020,Drama,"<a href=""http://www.imdb.com/title/tt12444572/"">Link</a>"
Berlin Alexanderplatz,6.8,1126,2020,Drama,"<a href=""http://www.imdb.com/title/tt6470924/"">Link</a>"
Big vs Small,,,2020,Documentary,"<a href=""http://www.imdb.com/title/tt12958774/"">Link</a>"
Bitter Love,4.7,616,2015,Drama,"<a href=""http://www.imdb.com/title/tt5303490/"">Link</a>"
Black Light,4.3,171,1999,Crime;Mystery;Romance;Thriller,"<a href=""http://www.imdb.com/title/tt0135164/"">Link</a>"
Black Milk,6.2,48,2020,Drama,"<a href=""http://www.imdb.com/title/tt11639052/"">Link</a>"
Blizzard of Souls,8.4,1459,2019,Drama;History;War,"<a href=""http://www.imdb.com/title/tt6084202/"">Link</a>"
Boys Boys Boys - Live Action Documentaries 1,0,0,0,,
Brave New Worlds: Scifi and Fantasy Shorts,0,0,0,,
Bula,,,2020,Biography;Comedy;Drama,"<a href=""http://www.imdb.com/title/tt4684610/"">Link</a>"
Caged Birds,,,2020,Drama;Romance,"<a href=""http://www.imdb.com/title/tt9502538/"">Link</a>"
Call Me Blackbird,0,0,0,,
Catwalk: From Glada Hudik to New York,7.5,208,2020,Documentary,"<a href=""http://www.imdb.com/title/tt11078564/"">Link</a>"
Caught in the Net,8.2,345,2020,Documentary;Crime,"<a href=""http://www.imdb.com/title/tt11900404/"">Link</a>"
Charlatan,6.8,505,2020,Drama;History,"<a href=""http://www.imdb.com/title/tt6028620/"">Link</a>"
Chicks,5.3,275,2009,Comedy;Drama,"<a href=""http://www.imdb.com/title/tt1509742/"">Link</a>"
City So Real,6.8,74,2020,Documentary,"<a href=""http://www.imdb.com/title/tt11469904/"">Link</a>"
Cocoon,6.7,56703,1985,Comedy;Drama;Sci-Fi,"<a href=""http://www.imdb.com/title/tt0088933/"">Link</a>"
Colourful Dreams,,,1983,Drama,"<a href=""http://www.imdb.com/title/tt0261223/"">Link</a>"
Come True,6.9,216,2020,Horror;Sci-Fi,"<a href=""http://www.imdb.com/title/tt7026488/"">Link</a>"
Conference,6.8,92,2020,Drama,"<a href=""http://www.imdb.com/title/tt11258824/"">Link</a>"
Cortex,6.3,112,2020,Crime;Drama;Thriller,"<a href=""http://www.imdb.com/title/tt10056224/"">Link</a>"
County Lines,7.9,50,2019,Drama,"<a href=""http://www.imdb.com/title/tt7156898/"">Link</a>"
Courtroom 3H,6.3,32,2020,Documentary;Crime,"<a href=""http://www.imdb.com/title/tt11431570/"">Link</a>"
Cry Wolf,8.4,99,2020,Crime;Drama;Mystery,"<a href=""http://www.imdb.com/title/tt11823102/"">Link</a>"
Dance Films: Kinetic Novellas,0,0,0,,
Davos,8.3,7,2020,Documentary,"<a href=""http://www.imdb.com/title/tt12306916/"">Link</a>"
Dear Comrades,6.5,196,2020,Drama;History,"<a href=""http://www.imdb.com/title/tt10796286/"">Link</a>"
Dinner in America,7.4,320,2020,Comedy;Drama;Music;Romance,"<a href=""http://www.imdb.com/title/tt9058654/"">Link</a>"
EFA Shorts on Tour 1,0,0,0,,
EFA Shorts on Tour 2,0,0,0,,
Enfant Terrible,6.3,140,2020,Biography;Drama,"<a href=""http://www.imdb.com/title/tt10855798/"">Link</a>"
Erna at War,,,2011,Drama;Family,"<a href=""http://www.imdb.com/title/tt1872574/"">Link</a>"
Escape from Pretoria,6.8,17554,2020,Thriller,"<a href=""http://www.imdb.com/title/tt5797184/"">Link</a>"
Estanislao,,,,Drama,"<a href=""http://www.imdb.com/title/tt9566084/"">Link</a>"
Everything: The Real Thing Story,8.3,64,2019,Documentary,"<a href=""http://www.imdb.com/title/tt11046788/"">Link</a>"
Exemplary Behavior,7.8,28,2019,Documentary,"<a href=""http://www.imdb.com/title/tt9792010/"">Link</a>"
Exile,6.3,293,2020,Drama,"<a href=""http://www.imdb.com/title/tt8955708/"">Link</a>"
Falling,6.1,819,2020,Drama,"<a href=""http://www.imdb.com/title/tt9143112/"">Link</a>"
Fan Girl,4.7,564,2015,Comedy;Family;Music,"<a href=""http://www.imdb.com/title/tt4146132/"">Link</a>"
Fear,6.3,40743,1996,Drama;Thriller,"<a href=""http://www.imdb.com/title/tt0116287/"">Link</a>"
February,5.9,18449,2015,Horror;Mystery;Thriller,"<a href=""http://www.imdb.com/title/tt3286052/"">Link</a>"
Final Report,6.0,139,2020,Drama,"<a href=""http://www.imdb.com/title/tt9701934/"">Link</a>"
Flashwood,5.2,47,2020,Drama,"<a href=""http://www.imdb.com/title/tt11843950/"">Link</a>"
Follow The Yellow Brick Road,,,1991,,"<a href=""http://www.imdb.com/title/tt1629958/"">Link</a>"
Forgotten Roads,7.4,16,2020,Drama;Romance,"<a href=""http://www.imdb.com/title/tt12888166/"">Link</a>"
Fugitive Dreams,,,2020,Drama,"<a href=""http://www.imdb.com/title/tt7551844/"">Link</a>"
Georgica,6.8,241,1998,Drama,"<a href=""http://www.imdb.com/title/tt0168819/"">Link</a>"
Glassboy,,,2020,Drama,"<a href=""http://www.imdb.com/title/tt12188452/"">Link</a>"
Goodbye Soviet Union,7.2,67,2020,Comedy,"<a href=""http://www.imdb.com/title/tt9471988/"">Link</a>"
Gorbachev. Heaven,,,2020,Documentary,"<a href=""http://www.imdb.com/title/tt13400440/"">Link</a>"
Gracious Night,,,2020,Drama,"<a href=""http://www.imdb.com/title/tt13328460/"">Link</a>"
Great Happiness,,,2019,Drama,"<a href=""http://www.imdb.com/title/tt8784830/"">Link</a>"
Havel,6.6,136,2020,Biography;Drama;History,"<a href=""http://www.imdb.com/title/tt9471930/"">Link</a>"
Heroes,7.5,227224,2006,Drama;Fantasy;Sci-Fi;Thriller,"<a href=""http://www.imdb.com/title/tt0813715/"">Link</a>"
Holler,6.6,29,2020,Drama,"<a href=""http://www.imdb.com/title/tt6763778/"">Link</a>"
Holy Father,9.2,45,2020,Documentary,"<a href=""http://www.imdb.com/title/tt12833692/"">Link</a>"
Home,6.6,91003,2015,Animation;Adventure;Comedy;Family;Fantasy;Sci-Fi,"<a href=""http://www.imdb.com/title/tt2224026/"">Link</a>"
Honeymood,6.7,30,2020,Comedy;Drama,"<a href=""http://www.imdb.com/title/tt11905730/"">Link</a>"
Hunted,7.4,8585,2012,Action;Drama,"<a href=""http://www.imdb.com/title/tt2069449/"">Link</a>"
Hunting in the North,,,1961,Short;Documentary,"<a href=""http://www.imdb.com/title/tt0225231/"">Link</a>"
I Am Greta,5.7,3080,2020,Documentary;Biography,"<a href=""http://www.imdb.com/title/tt10394738/"">Link</a>"
In the Dusk,6.3,53,2019,Drama,"<a href=""http://www.imdb.com/title/tt9799640/"">Link</a>"
In the Line of Fire,7.2,91347,1993,Action;Crime;Drama;Thriller,"<a href=""http://www.imdb.com/title/tt0107206/"">Link</a>"
In the Mirror,,,2020,Fantasy,"<a href=""http://www.imdb.com/title/tt10590568/"">Link</a>"
Intervention,7.9,2423,2005,Documentary;Drama,"<a href=""http://www.imdb.com/title/tt0450920/"">Link</a>"
Jackie and Oopjen,7.7,18,2020,Comedy;Family,"<a href=""http://www.imdb.com/title/tt11816000/"">Link</a>"
Josep,7.5,223,2020,Animation;Biography;Drama,"<a href=""http://www.imdb.com/title/tt10534996/"">Link</a>"
